cluster,cluster_subject,positives,negatives,tension,balance,polarization
-1,Language Research Technology,10140.0,5908.0,16048.0,5626.0,0.3542570401936124
p_3,Sustainable Energy Innovation,1422.0,450.0,1872.0,447.0,0.2594806229861576
p_14,Robotic Task Training,818.0,393.0,1211.0,383.0,0.3070951184179263
n_4,Robot Privacy Concerns,735.0,458.0,1193.0,458.0,0.3521606455940507
n_0,China Internet News,537.0,515.0,1052.0,458.0,0.435047235270512
n_5,Chinese Surveillance System,474.0,491.0,965.0,396.0,0.41633158680736443
p_27,AI Music Generation,542.0,405.0,947.0,380.0,0.3977141028464855
p_8,Banking Customer Service,612.0,132.0,744.0,132.0,0.17257825071269572
p_9,Business Data Governance,512.0,214.0,726.0,210.0,0.30148169967414423
n_1,Machine Learning Techniques,523.0,201.0,724.0,201.0,0.28334938388172426
n_2,Image Text Analysis,451.0,263.0,714.0,261.0,0.3479957528080804
p_21,AI Generated Art,403.0,282.0,685.0,272.0,0.3874240723192915
p_2,Chinese Chatbot Technology,423.0,253.0,676.0,249.0,0.3555433164629274
p_12,China Internet Life,362.0,292.0,654.0,283.0,0.43312240970947613
n_6,Algorithmic hiring bias,359.0,271.0,630.0,267.0,0.377802253241564
p_5,Gene editing research,392.0,226.0,618.0,226.0,0.3658799499245932
p_15,Election Content Policy,316.0,298.0,614.0,261.0,0.4213974690594766
p_7,Enterprise Security Management,371.0,217.0,588.0,215.0,0.35184691848932853
p_6,Protein Structure Prediction,331.0,227.0,558.0,227.0,0.3865844730394283
p_18,OpenAI chatbot product,395.0,156.0,551.0,156.0,0.2935409444682339
p_25,OpenAI Gaming Chatbot,310.0,235.0,545.0,228.0,0.41605996281074353
n_11,Business Security Management,369.0,161.0,530.0,161.0,0.28394507687570203
p_11,China OpenAI Talent,272.0,249.0,521.0,241.0,0.46060326671489915
n_8,Disinformation Design Metaverse,321.0,196.0,517.0,196.0,0.36780586872184756
p_13,Police Drone Usage,245.0,260.0,505.0,231.0,0.4517763287281927
p_24,Mathematical Language Research,267.0,181.0,448.0,181.0,0.40354647436264546
p_22,Educational Chatbot Usage,263.0,180.0,443.0,180.0,0.391129677020088
p_19,Deepfake Content Watermarking,227.0,205.0,432.0,192.0,0.44383352078967914
n_7,Climate Change Mitigation,277.0,153.0,430.0,153.0,0.35919588750719617
p_10,Semiconductor Industry Chain,290.0,136.0,426.0,136.0,0.3086500101205984
p_28,ChatGPT Research Study,262.0,158.0,420.0,142.0,0.31440728420534925
p_17,Chatbot User Interactions,227.0,139.0,366.0,139.0,0.3911945609634384
p_4,OpenAI climate research,191.0,160.0,351.0,148.0,0.4241940548929968
p_23,GitHub Copilot Programming,240.0,104.0,344.0,104.0,0.28385493960989094
p_1,Chinese Sports Regulation,192.0,122.0,314.0,122.0,0.39606634007629077
n_9,Healthcare Data Management,214.0,94.0,308.0,94.0,0.30506265295024015
p_0,Earthquake Weather Prediction,166.0,125.0,291.0,96.0,0.2950464361220175
p_26,AI-generated Entertainment,162.0,120.0,282.0,120.0,0.42867808594072176
p_20,AI-generated Filmmaking,173.0,106.0,279.0,106.0,0.32570927550896095
n_10,Cloud Service Transformation,171.0,87.0,258.0,83.0,0.33727487272263384
p_16,Emotion Recognition Regulation,120.0,79.0,199.0,79.0,0.3944319354536073
n_3,Protein Structure Research,107.0,65.0,172.0,60.0,0.3055989453249727
p_29,Text Watermarking Research,51.0,47.0,98.0,46.0,0.46872032288698956
